num_queries = 64
blowup_factor = 64
grinding_factor = 0
Trace built in 64.352µs
row |   nonce | current |   stack |    nei0 |    nei1 |    nei2 |    nei3 |    nei4 |    nei5 |    nei6 |    nei7 |   valid |     ret |    call |
 24 |     123 |      46 |      70 |      71 |       0 |       0 |       0 |       0 |       0 |       0 |       0 |       1 |       0 |       1 |
 25 |     123 |      71 |      70 |      69 |      71 |       0 |       0 |       0 |       0 |       0 |       0 |       1 |       0 |       0 |
 26 |     123 |      69 |      70 |      45 |      70 |       0 |       0 |       0 |       0 |       0 |       0 |       1 |       0 |       0 |
 27 |     123 |      70 |      53 |      78 |      79 |       0 |       0 |       0 |       0 |       0 |       0 |       1 |       1 |       0 |
 28 |     123 |      79 |      53 |      53 |      51 |       0 |       0 |       0 |       0 |       0 |       0 |       1 |       0 |       0 |
 29 |     123 |      53 |      77 |      77 |       0 |       0 |       0 |       0 |       0 |       0 |       0 |       1 |       1 |       0 |
 30 |     123 |      77 |      91 |      54 |      86 |       0 |       0 |       0 |       0 |       0 |       0 |       1 |       1 |       0 |
 31 |     123 |      54 |      86 |      55 |      56 |       0 |       0 |       0 |       0 |       0 |       0 |       1 |       0 |       1 |
 32 |     123 |      55 |      56 |      72 |       0 |       0 |       0 |       0 |       0 |       0 |       0 |       1 |       0 |       1 |
 33 |     123 |      72 |      56 |      56 |       0 |       0 |       0 |       0 |       0 |       0 |       0 |       1 |       0 |       0 |
 34 |     123 |      56 |      86 |      87 |      88 |       0 |       0 |       0 |       0 |       0 |       0 |       1 |       1 |       0 |
 35 |     123 |      87 |      86 |      86 |       0 |       0 |       0 |       0 |       0 |       0 |       0 |       1 |       0 |       0 |
 36 |     123 |      86 |      91 |      91 |       0 |       0 |       0 |       0 |       0 |       0 |       0 |       1 |       1 |       0 |
 37 |     123 |      91 |      99 |       0 |       0 |       0 |       0 |       0 |       0 |       0 |       0 |       1 |       1 |       0 |
 38 |     123 |      91 |      99 |       0 |       0 |       0 |       0 |       0 |       0 |       0 |       0 |       0 |       0 |       0 |
 39 |     123 |      91 |      99 |       0 |       0 |       0 |       0 |       0 |       0 |       0 |       0 |       0 |       0 |       0 |
 40 |     123 |      91 |      99 |       0 |       0 |       0 |       0 |       0 |       0 |       0 |       0 |       0 |       0 |       0 |
 41 |     123 |      91 |      99 |       0 |       0 |       0 |       0 |       0 |       0 |       0 |       0 |       0 |       0 |       0 |
 42 |     123 |      91 |      99 |       0 |       0 |       0 |       0 |       0 |       0 |       0 |       0 |       0 |       0 |       0 |
 43 |     123 |      91 |      99 |       0 |       0 |       0 |       0 |       0 |       0 |       0 |       0 |       0 |       0 |       0 |
 44 |     123 |      91 |      99 |       0 |       0 |       0 |       0 |       0 |       0 |       0 |       0 |       0 |       0 |       0 |
 45 |     123 |      91 |      99 |       0 |       0 |       0 |       0 |       0 |       0 |       0 |       0 |       0 |       0 |       0 |
 46 |     123 |      91 |      99 |       0 |       0 |       0 |       0 |       0 |       0 |       0 |       0 |       0 |       0 |       0 |
 47 |     123 |      91 |      99 |       0 |       0 |       0 |       0 |       0 |       0 |       0 |       0 |       0 |       0 |       0 |
 48 |     123 |      91 |      99 |       0 |       0 |       0 |       0 |       0 |       0 |       0 |       0 |       0 |       0 |       0 |
 49 |     123 |      91 |      99 |       0 |       0 |       0 |       0 |       0 |       0 |       0 |       0 |       0 |       0 |       0 |
 50 |     123 |      91 |      99 |       0 |       0 |       0 |       0 |       0 |       0 |       0 |       0 |       0 |       0 |       0 |
 51 |     123 |      91 |      99 |       0 |       0 |       0 |       0 |       0 |       0 |       0 |       0 |       0 |       0 |       0 |
 52 |     123 |      91 |      99 |       0 |       0 |       0 |       0 |       0 |       0 |       0 |       0 |       0 |       0 |       0 |
 53 |     123 |      91 |      99 |       0 |       0 |       0 |       0 |       0 |       0 |       0 |       0 |       0 |       0 |       0 |
 54 |     123 |      91 |      99 |       0 |       0 |       0 |       0 |       0 |       0 |       0 |       0 |       0 |       0 |       0 |
 55 |     123 |      91 |      99 |       0 |       0 |       0 |       0 |       0 |       0 |       0 |       0 |       0 |       0 |       0 |
 56 |     123 |      91 |      99 |       0 |       0 |       0 |       0 |       0 |       0 |       0 |       0 |       0 |       0 |       0 |
 57 |     123 |      91 |      99 |       0 |       0 |       0 |       0 |       0 |       0 |       0 |       0 |       0 |       0 |       0 |
 58 |     123 |      91 |      99 |       0 |       0 |       0 |       0 |       0 |       0 |       0 |       0 |       0 |       0 |       0 |
 59 |     123 |      91 |      99 |       0 |       0 |       0 |       0 |       0 |       0 |       0 |       0 |       0 |       0 |       0 |
 60 |     123 |      91 |      99 |       0 |       0 |       0 |       0 |       0 |       0 |       0 |       0 |       0 |       0 |       0 |
 61 |     123 |      91 |      99 |       0 |       0 |       0 |       0 |       0 |       0 |       0 |       0 |       0 |       0 |       0 |
 62 |     123 |      91 |      99 |       0 |       0 |       0 |       0 |       0 |       0 |       0 |       0 |       0 |       0 |       0 |
 63 |     123 |      91 |      99 |       0 |       0 |       0 |       0 |       0 |       0 |       0 |       0 |       0 |       0 |       0 |
Proving time: 16.592ms
Proof size: 42.90 KiB (43927 bytes)
Valid Proof
 Verification succeeded in 1.281ms
Done. Trace build: 64.352µs | Prove: 16.592ms | Verify: 1.281ms | Proof: 42.90 KiB (43927 bytes)
